Periodo,Sexo,Edad,Estado civil,Total
2022T4,Ambos sexos,Total,Solteros/Solteras,"1.651,2"
2022T3,Ambos sexos,Total,Solteros/Solteras,"1.655,5"
2022T2,Ambos sexos,Total,Solteros/Solteras,"1.572,3"
2022T1,Ambos sexos,Total,Solteros/Solteras,"1.682,1"
2021T4,Ambos sexos,Total,Solteros/Solteras,"1.639,7"
2021T3,Ambos sexos,Total,Solteros/Solteras,"1.865,2"
2021T2,Ambos sexos,Total,Solteros/Solteras,"1.968,3"
2021T1,Ambos sexos,Total,Solteros/Solteras,"2.011,3"
2020T4,Ambos sexos,Total,Solteros/Solteras,"1.975,6"
2020T3,Ambos sexos,Total,Solteros/Solteras,"2.064,8"
2020T2,Ambos sexos,Total,Solteros/Solteras,"1.799,4"
2020T1,Ambos sexos,Total,Solteros/Solteras,"1.717,7"
2019T4,Ambos sexos,Total,Solteros/Solteras,"1.610,4"
2019T3,Ambos sexos,Total,Solteros/Solteras,"1.673,6"
2019T2,Ambos sexos,Total,Solteros/Solteras,1.636
2019T1,Ambos sexos,Total,Solteros/Solteras,"1.703,9"
2018T4,Ambos sexos,Total,Solteros/Solteras,"1.682,1"
2018T3,Ambos sexos,Total,Solteros/Solteras,"1.731,4"
2018T2,Ambos sexos,Total,Solteros/Solteras,"1.724,5"
2018T1,Ambos sexos,Total,Solteros/Solteras,"1.850,9"
2017T4,Ambos sexos,Total,Solteros/Solteras,1.854
2017T3,Ambos sexos,Total,Solteros/Solteras,"1.866,5"
2017T2,Ambos sexos,Total,Solteros/Solteras,"1.921,3"
2017T1,Ambos sexos,Total,Solteros/Solteras,"2.067,2"
2016T4,Ambos sexos,Total,Solteros/Solteras,2.069
2016T3,Ambos sexos,Total,Solteros/Solteras,"2.119,9"
2016T2,Ambos sexos,Total,Solteros/Solteras,"2.228,9"
2016T1,Ambos sexos,Total,Solteros/Solteras,"2.289,9"
2015T4,Ambos sexos,Total,Solteros/Solteras,"2.253,9"
2015T3,Ambos sexos,Total,Solteros/Solteras,"2.338,3"
2015T2,Ambos sexos,Total,Solteros/Solteras,"2.439,3"
2015T1,Ambos sexos,Total,Solteros/Solteras,"2.584,6"
2014T4,Ambos sexos,Total,Solteros/Solteras,"2.593,8"
2014T3,Ambos sexos,Total,Solteros/Solteras,"2.592,9"
2014T2,Ambos sexos,Total,Solteros/Solteras,"2.666,5"
2014T1,Ambos sexos,Total,Solteros/Solteras,"2.829,4"
2013T4,Ambos sexos,Total,Solteros/Solteras,"2.834,8"
2013T3,Ambos sexos,Total,Solteros/Solteras,"2.863,6"
2013T2,Ambos sexos,Total,Solteros/Solteras,"2.907,3"
2013T1,Ambos sexos,Total,Solteros/Solteras,"2.987,3"
2012T4,Ambos sexos,Total,Solteros/Solteras,"2.869,5"
2012T3,Ambos sexos,Total,Solteros/Solteras,"2.818,7"
2012T2,Ambos sexos,Total,Solteros/Solteras,"2.795,9"
2012T1,Ambos sexos,Total,Solteros/Solteras,"2.709,5"
2011T4,Ambos sexos,Total,Solteros/Solteras,"2.525,8"
2011T3,Ambos sexos,Total,Solteros/Solteras,"2.417,2"
2011T2,Ambos sexos,Total,Solteros/Solteras,"2.355,7"
2011T1,Ambos sexos,Total,Solteros/Solteras,"2.355,5"
2010T4,Ambos sexos,Total,Solteros/Solteras,2.247
2010T3,Ambos sexos,Total,Solteros/Solteras,2.239
2010T2,Ambos sexos,Total,Solteros/Solteras,"2.271,9"
2010T1,Ambos sexos,Total,Solteros/Solteras,"2.247,8"
2009T4,Ambos sexos,Total,Solteros/Solteras,"2.131,3"
2009T3,Ambos sexos,Total,Solteros/Solteras,"2.095,9"
2009T2,Ambos sexos,Total,Solteros/Solteras,2.054
2009T1,Ambos sexos,Total,Solteros/Solteras,"1.996,1"
2008T4,Ambos sexos,Total,Solteros/Solteras,"1.592,3"
2008T3,Ambos sexos,Total,Solteros/Solteras,"1.343,3"
2008T2,Ambos sexos,Total,Solteros/Solteras,"1.234,4"
2008T1,Ambos sexos,Total,Solteros/Solteras,"1.105,7"
2007T4,Ambos sexos,Total,Solteros/Solteras,"963,7"
2007T3,Ambos sexos,Total,Solteros/Solteras,"927,4"
2007T2,Ambos sexos,Total,Solteros/Solteras,"899,2"
2007T1,Ambos sexos,Total,Solteros/Solteras,"930,8"
2006T4,Ambos sexos,Total,Solteros/Solteras,"943,4"
2006T3,Ambos sexos,Total,Solteros/Solteras,"937,7"
2006T2,Ambos sexos,Total,Solteros/Solteras,"966,5"
2006T1,Ambos sexos,Total,Solteros/Solteras,"1.006,3"
2005T4,Ambos sexos,Total,Solteros/Solteras,"1.002,1"
2005T3,Ambos sexos,Total,Solteros/Solteras,"969,3"
2005T2,Ambos sexos,Total,Solteros/Solteras,"1.075,6"
2005T1,Ambos sexos,Total,Solteros/Solteras,"1.144,4"
2004T4,Ambos sexos,Total,Solteros/Solteras,"1.083,5"
2004T3,Ambos sexos,Total,Solteros/Solteras,"1.129,7"
2004T2,Ambos sexos,Total,Solteros/Solteras,"1.172,4"
2004T1,Ambos sexos,Total,Solteros/Solteras,"1.213,2"
2003T4,Ambos sexos,Total,Solteros/Solteras,"1.202,2"
2003T3,Ambos sexos,Total,Solteros/Solteras,1.203
2003T2,Ambos sexos,Total,Solteros/Solteras,"1.144,9"
2003T1,Ambos sexos,Total,Solteros/Solteras,"1.224,9"
2002T4,Ambos sexos,Total,Solteros/Solteras,"1.171,9"
2002T3,Ambos sexos,Total,Solteros/Solteras,"1.143,2"
2002T2,Ambos sexos,Total,Solteros/Solteras,"1.094,2"
2002T1,Ambos sexos,Total,Solteros/Solteras,"1.123,9"
2025T1,Ambos sexos,Total,Casados/Casadas,"1.028,8"
2024T4,Ambos sexos,Total,Casados/Casadas,967
2024T3,Ambos sexos,Total,Casados/Casadas,"958,1"
2024T2,Ambos sexos,Total,Casados/Casadas,"998,9"
2024T1,Ambos sexos,Total,Casados/Casadas,"1.090,7"
2023T4,Ambos sexos,Total,Casados/Casadas,"1.009,3"
2023T3,Ambos sexos,Total,Casados/Casadas,"1.046,9"
2023T2,Ambos sexos,Total,Casados/Casadas,"1.004,8"
2023T1,Ambos sexos,Total,Casados/Casadas,"1.165,1"
2022T4,Ambos sexos,Total,Casados/Casadas,"1.138,3"
